"id","year","sco","isi","tci"
"1","2544","116","129","2"
"2","2545","142","151","5"
"3","2546","175","153","8"
"4","2547","180","139","9"
"5","2548","271","211","11"
"6","2549","422","306","8"
"7","2550","528","321","15"
"8","2551","592","414","14"
"9","2552","506","449","15"
"10","2553","572","464","12"
"11","2554","680","503","14"
"12","2555","757","520","12"
"13","2556","839","554","20"
"14","2557","976","576","26"
"15","2558","830","685","28"
"16","2559","890","751","35"
"17","2560","1073","900","42"
"18","2561","1185","978","38"
"19","2562","1305","1118","9"
"20","2563","824","566","2"
